places_national_flag__row,places_area__row,places_population__row,places_iso__row,places_country__row,places_capital__row,places_continent__row,places_tld__row,places_currency_code__row,places_currency_name__row,places_phone__row,places_postal_code_format__row,places_postal_code_regex__row,places_languages__row,places_neighbours__row
,"647,500 square kilometres","29,121,286",AF,Afghanistan,Kabul,AS,.af,AFN,Afghani,93,,,"fa-AF,ps,uz-AF,tk",TM CN IR TJ PK UZ 
,"1,580 square kilometres","26,711",AX,Aland Islands,Mariehamn,EU,.ax,EUR,Euro,+358-18,#####,^(?:FI)*(\d{5})$,sv-AX, 
,"28,748 square kilometres","2,986,952",AL,Albania,Tirana,EU,.al,ALL,Lek,355,,,"sq,el",MK GR CS ME RS XK 
,"2,381,740 square kilometres","34,586,184",DZ,Algeria,Algiers,AF,.dz,DZD,Dinar,213,#####,^(\d{5})$,ar-DZ,NE EH LY MR TN MA ML 
,199 square kilometres,"57,881",AS,American Samoa,Pago Pago,OC,.as,USD,Dollar,+1-684,,,"en-AS,sm,to", 
,468 square kilometres,"84,000",AD,Andorra,Andorra la Vella,EU,.ad,EUR,Euro,376,AD###,^(?:AD)*(\d{3})$,ca,ES FR 
,"1,246,700 square kilometres","13,068,161",AO,Angola,Luanda,AF,.ao,AOA,Kwanza,244,,,pt-AO,CD NA ZM CG 
,102 square kilometres,"13,254",AI,Anguilla,The Valley,NA,.ai,XCD,Dollar,+1-264,,,en-AI, 
,"14,000,000 square kilometres",0,AQ,Antarctica,,AN,.aq,,,,,,, 
,443 square kilometres,"86,754",AG,Antigua and Barbuda,St. John's,NA,.ag,XCD,Dollar,+1-268,,,en-AG, 
